19164/sunpayus, 25, 32, 10870, 8872, 29.9%, 73.7, 15084
9032/magisk, 13, 16, 30568, 27085, 47.7%, 79.4, 42855
11777/maden, 25, 32, 17632, 17364, 50.7%, 78.3, 24856
7998/s1mple, 1, 2, 38714, 29045, 41.1%, 85.4, 45750
922/snappi, 20, 23, 30870, 32485, 45.8%, 72.1, 48039
16811/mistem, 7, 6, 11569, 11725, 53.0%, 74.5, 17089
22874/silence, 7, 6, 1110, 1079, 34.4%, 65.8, 1727
22759/jocab, 5, 6, 1688, 1672, 47.6%, 77.7, 2361
16726/phzy, 0, 2, 12713, 11415, 28.8%, 72.6, 18426
16495/kory, 0, 2, 14152, 14247, 53.8%, 76.5, 20583
8605/somebody, 0, 2, 24834, 22591, 45.8%, 79.8, 33969
7028/summer, 0, 2, 25568, 22789, 49.3%, 79.3, 35375
12490/expro, 0, 2, 9850, 10246, 45.0%, 75.1, 14745
9766/hampus, 9, 3, 28154, 27990, 40.3%, 79.7, 40344
18571/cypher, 14, 7, 12551, 12914, 52.8%, 77.5, 18154
11219/cerq, 9, 3, 24332, 20846, 28.2%, 73.3, 33588
20813/vldn, 14, 8, 6574, 5961, 53.6%, 77.6, 9457
14932/faven, 9, 3, 30623, 27290, 54.5%, 77.8, 41973
20170/kyuubii, 12, 9, 8817, 8307, 51.0%, 75.4, 12733
19926/afro, 21, 21, 16118, 14395, 33.3%, 73.1, 22791
8374/bodyy, 20, 14, 29418, 29496, 56.2%, 76.9, 43381
21062/matys, 12, 9, 11906, 10889, 66.1%, 83.2, 15320
7528/krimz, 21, 21, 37087, 33829, 41.3%, 75.9, 53170
22039/danistzz, 17, 17, 2817, 2830, 58.0%, 74.4, 4126
21715/flayy, 6, 9, 4247, 3917, 31.7%, 70.4, 6068
20349/casey, 6, 9, 4638, 4442, 52.2%, 81.6, 6325
23295/kisserek, 6, 9, 1005, 1056, 54.1%, 74.7, 1503
21263/olimp, 6, 9, 4995, 5032, 49.4%, 77.2, 7308
21265/snx, 6, 9, 4160, 4739, 53.1%, 67.0, 7017
19235/belchonokk, 5, 7, 4857, 5025, 47.3%, 76.1, 7211
13497/lucky, 8, 9, 28765, 27099, 41.7%, 76.8, 42306
13138/maka, 8, 9, 29937, 26540, 35.5%, 74.3, 42242
9656/hadji, 8, 9, 27931, 25279, 49.5%, 79.0, 38562
19738/djoko, 8, 9, 17033, 17201, 62.1%, 75.2, 24901
19739/ex3rcice, 8, 9, 13252, 13247, 53.9%, 70.7, 20274
22047/yxngstxr, 3, 4, 2588, 2768, 55.8%, 70.5, 3950
19187/xfl0ud, 3, 4, 8366, 8248, 50.8%, 71.0, 13088
19913/ganginho, 3, 4, 4578, 3800, 28.5%, 76.0, 6061
18749/sausol, 3, 4, 9333, 9175, 51.5%, 74.8, 13710
19310/lnz, 3, 4, 9601, 9985, 53.8%, 69.6, 15389
16705/altekz, 13, 8, 11371, 11037, 51.8%, 75.0, 17015
10610/refrezh, 13, 8, 25040, 23618, 48.9%, 74.2, 36196
14419/roej, 22, 20, 23245, 21789, 55.1%, 81.9, 31835
7398/dupreeh, 13, 22, 41166, 36726, 50.5%, 76.5, 56720
11995/tmb, 13, 8, 21737, 22939, 48.2%, 75.7, 33300
21452/kvem, 2, 4, 7433, 6741, 56.4%, 85.2, 9837
21816/gizmy, 2, 4, 3877, 4176, 49.6%, 74.0, 5920
13239/qikert, 0, 4, 26261, 24533, 56.3%, 76.1, 38290
19673/patsi, 0, 4, 13236, 12999, 44.3%, 79.4, 18662
21348/artfr0st, 15, 14, 7282, 5478, 24.0%, 71.9, 10096
13157/jerry, 1, 8, 34921, 34986, 45.4%, 76.1, 51745
19575/x5g7v, 1, 8, 9415, 9499, 45.7%, 73.8, 14216
11283/ottond, 3, 7, 20766, 17841, 27.1%, 74.6, 28504
9818/uli, 3, 7, 11877, 11801, 49.0%, 75.8, 17621
20593/airax, 3, 7, 7067, 8657, 46.0%, 70.4, 11681
20625/banjo, 3, 7, 7257, 7157, 48.3%, 73.8, 11118
22144/puuha, 0, 4, 659, 930, 56.4%, 64.2, 1216
14061/awzek, 9, 13, 10084, 9901, 50.1%, 78.2, 14396
21468/hyped, 1, 4, 8155, 7162, 25.9%, 69.6, 11542
20122/freeze, 9, 13, 8903, 10332, 45.4%, 72.5, 14551
21500/arrow, 1, 4, 4064, 4526, 61.9%, 67.8, 6741
20169/skyye, 1, 4, 7663, 7826, 57.0%, 72.6, 11677
13982/forester, 1, 4, 27832, 26414, 53.6%, 76.7, 40074
21439/icy, 1, 4, 3854, 3151, 30.5%, 70.6, 5386
16948/travis, 1, 4, 15363, 14474, 53.8%, 77.9, 22019
11498/nickelback, 1, 4, 29506, 30034, 40.3%, 74.8, 45052
12027/krad, 1, 4, 28912, 28594, 49.3%, 76.4, 42301
23428/killazoo, 2, 0, 8, 14, 25.0%, 45.6, 23
19763/boros, 11, 11, 13029, 12176, 63.9%, 83.2, 16743
6904/styko, 1, 4, 33572, 33430, 57.6%, 73.5, 50942
8248/jkaem, 17, 18, 33830, 32423, 51.8%, 80.8, 46264
13670/nawwk, 17, 18, 25765, 20981, 35.6%, 72.3, 35289
18790/cacanito, 17, 18, 12194, 11482, 48.2%, 82.7, 16587
17450/sense, 17, 18, 4949, 5668, 51.3%, 68.6, 8171
15165/blamef, 13, 19, 23378, 18524, 39.1%, 85.2, 30646
10981/mantuu, 33, 22, 16457, 13705, 34.6%, 75.5, 22272
20104/s1n, 33, 22, 10192, 9821, 51.6%, 76.7, 15245
8611/es3tag, 9, 20, 25149, 24479, 35.8%, 75.6, 37070
19592/headtr1ck, 9, 20, 5886, 4931, 36.2%, 73.9, 8197
9078/k0nfig, 9, 20, 34928, 32488, 56.0%, 80.3, 46894
22688/baz, 1, 4, 3544, 3672, 52.1%, 65.7, 5956
2154/hally, 1, 4, 624, 936, 49.8%, 57.4, 1159
17039/deco, 2, 3, 12031, 12162, 49.6%, 75.2, 18227
9221/reversive, 2, 3, 13037, 13074, 43.9%, 74.8, 19555
10504/nikom, 2, 3, 10172, 9215, 47.1%, 79.8, 13969
2161/noktse, 2, 3, 19569, 19293, 37.6%, 72.3, 29489
14737/meyern, 2, 3, 14111, 13134, 54.4%, 75.7, 19892
16599/swisher, 0, 7, 19888, 18672, 48.1%, 80.9, 27438
15370/slaxz, 0, 3, 25593, 22045, 29.5%, 72.7, 36167
11617/malbsmd, 0, 7, 15972, 14959, 62.9%, 81.3, 21182
17378/reck, 0, 7, 10892, 10535, 54.6%, 76.4, 15543
7873/dephh, 0, 3, 14497, 14833, 47.8%, 80.2, 20560
20926/andu, 1, 3, 2936, 3073, 55.6%, 79.5, 4096
20090/zyphon, 2, 8, 14633, 13992, 53.4%, 75.9, 21088
21756/kat, 7, 2, 2038, 1851, 43.4%, 79.3, 2855
12758/ana, 7, 2, 3844, 2967, 26.3%, 78.1, 4943
18775/twenty3, 7, 2, 2661, 2373, 52.5%, 76.3, 3720
1572/vilga, 7, 2, 5931, 5567, 42.6%, 81.8, 8155
16497/tory, 7, 2, 2801, 2531, 48.1%, 79.7, 3806
22062/vicu, 5, 4, 2260, 1679, 31.3%, 83.2, 2778
16760/liina, 5, 4, 1926, 1950, 45.8%, 77.9, 2834
22063/hanka, 5, 4, 2046, 1821, 46.8%, 78.2, 2778
22065/angelka, 5, 4, 2069, 1825, 50.7%, 79.5, 2778
21727/leti, 5, 4, 1253, 1279, 45.6%, 72.5, 1954
21801/yungher, 2, 2, 2455, 2018, 33.8%, 77.2, 3249
17287/goddess, 2, 2, 2039, 2310, 47.5%, 71.9, 3224
20502/julih, 2, 2, 2091, 2123, 45.5%, 73.2, 3186
21800/poppins, 2, 2, 1655, 1608, 43.4%, 76.6, 2407
21799/nani, 2, 2, 2002, 1973, 46.1%, 76.3, 2897
18781/ksu, 2, 2, 2058, 1964, 44.6%, 75.1, 2971
10285/t4tty, 2, 2, 2813, 2880, 43.9%, 77.5, 4072
18773/f6tal, 2, 2, 2170, 2174, 51.9%, 79.1, 3065
18778/elizabeth, 2, 2, 1813, 1840, 41.7%, 75.2, 2733
18780/victoria, 2, 2, 2150, 2017, 29.2%, 71.2, 3121
11215/olga, 3, 3, 1830, 1532, 44.6%, 91.4, 2313
10743/hazel, 3, 3, 1127, 1094, 29.7%, 73.7, 1621
19103/argent, 3, 3, 469, 559, 48.2%, 66.7, 776
15964/gfi, 3, 3, 859, 782, 45.4%, 78.5, 1153
19844/xiaowu, 3, 3, 437, 470, 47.8%, 78.8, 633
21219/kaahsensei, 3, 3, 1864, 1475, 31.9%, 72.9, 2584
17288/izaa, 3, 3, 1993, 1694, 45.6%, 83.8, 2622
11872/gabs, 3, 3, 1078, 1009, 48.4%, 76.1, 1545
16341/gabi, 3, 3, 2446, 2116, 45.1%, 75.8, 3414
20503/annaex, 3, 3, 1365, 1302, 39.6%, 79.5, 1963
18641/bibiahn, 0, 3, 2582, 2171, 46.7%, 84.1, 3328
8850/goosebreeder, 0, 3, 4998, 4120, 42.5%, 84.6, 6500
22066/madss, 0, 3, 1934, 1780, 54.0%, 75.9, 2736
21732/uhkelsie, 0, 3, 1560, 1474, 34.6%, 74.3, 2329
21793/kaoday, 0, 3, 1787, 1493, 36.2%, 81.1, 2390
22302/empathy, 0, 3, 2157, 1894, 43.7%, 92.1, 2578
13326/bouchard, 0, 3, 1645, 1826, 43.4%, 71.4, 2609
